bga_id,bga_name,bgg_id,status,note
2549,Perch,387560,kept,
2160,Lorenzo il Magnifico,203993,kept,
2437,Pickomino,15818,kept,
1997,Fromage,384213,kept,
2228,Pirates of Maracaibo,397385,kept,
1586,Break the Code,227466,kept,
2083,Mountain Goats,63975,kept,
2516,Tacta,401636,kept,
1802,Knarr,379629,kept,
1276,Carcassonne: Hunters & Gatherers,4390,kept,
2452,Piña Coladice,415054,kept,
1838,Euchre,6901,kept,
2096,Bonsai,366994,kept,
1573,Point Salad,274960,kept,
2616,Red Notice,457724,kept,
1521,Blood Rage,170216,kept,
1143,Clans of Caledonia,216132,kept,
2340,Ink,437301,kept,
2567,Postcards,429423,kept,
2073,Canasta,17104,kept,
24,Saboteur,9220,kept,
2501,Agent Avenue,422732,kept,
1865,My City: Roll & Build,351476,kept,
2580,The LOOP,316412,kept,
1949,Mojo,395846,kept,
1855,Gin Rummy,25574,kept,
2162,Survive The Island,425428,kept,
2329,Streetcar,1597,kept,
2226,Diced Veggies,381356,kept,
1664,Caverna,102794,kept,
2254,Easy Peasy,435652,kept,
2146,Let's Go! To Japan,368173,kept,
1889,Framework,353152,kept,
69,Targi,118048,kept,
1820,Hadrian's Wall,304783,kept,
1585,Bärenpark,219513,kept,
1970,River Valley Glassworks,407297,kept,
1514,Shifting Stones,302280,kept,
2207,Leaders,432716,kept,
2604,First Giants,462464,kept,
2339,Verdant,334065,kept,
2071,DinoGenics,210296,kept,
2344,Ghosts Galore,458230,kept,
1771,Decrypto,225694,kept,
1273,Letter Tycoon,169147,kept,
1405,LLAMA,266083,kept,
1070,Oh Hell!,1116,kept,
1287,Carnegie,310873,kept,
1321,Dice Hospital,218121,kept,
61,Koi-Koi,11865,kept,
2028,River of Gold,399941,kept,
2165,Tag Team,434906,kept,
1239,Martian Dice,99875,kept,
2026,Next Station: Paris,403116,kept,
2243,Tiny Towns,265736,kept,
2421,Cities,402676,kept,
1282,Just Desserts,18946,kept,
2104,Nanatoridori,387388,kept,
1562,Exhibition: 20th Century,299544,kept,
1341,Watergate,274364,kept,
2428,Dewan,439742,kept,
1505,Chromino,13328,kept,
1200,The Voyages of Marco Polo,171623,kept,
2112,Gamme Logic,23953,kept,
1909,Altered,397393,kept,
1836,Kings in the Corner,4376,kept,
1779,Golf,17521,kept,
1370,Nidavellir,293014,kept,
1630,Reflection,,dropped-placeholder,
1648,My Shelfie,366456,kept,
1003,Tokaido,123540,kept,
2091,Cosmoctopus,362020,kept,
1086,Russian Railroads,144733,kept,
1972,Ludo,2136,kept,
1619,War Chest,249259,kept,
2450,Reforest,387276,kept,
2121,Five Tribes,157354,kept,
2202,Aquatica,283393,kept,
2579,Skara Brae,408636,kept,
1867,New York Zoo,300877,kept,
81,Chess,171,kept,
1195,Downforce,215311,kept,
1746,Architects of the West Kingdom,236457,kept,
1717,Anachrony,185343,kept,
2458,The Game Makers,447776,kept,
1966,Mini Rogue,311715,kept,
1745,Next Station: Tokyo,380165,kept,
2563,Alchemists,161970,kept,
2756,Ringyo,451298,kept,
2347,Up or Down?,428058,kept,
2346,My Shelfie: The Dice Game,411543,kept,
1697,Lost Seas,353543,kept,
1851,Praga Caput Regni,308765,kept,
1238,Thurn and Taxis,21790,kept,
1939,Exploding Kittens,172225,kept,
2509,Carnuta,,dropped-placeholder,
1485,Can't Stop Express,217547,kept,
1354,Hardback,223750,kept,
1179,Rallyman: GT,256589,kept,
1854,Pax Pamir: Second Edition,256960,kept,
1957,Looot,410991,kept,
2405,Viva Catrina,447583,kept,
1842,Now Boarding,231567,kept,
1080,Nippon,154809,kept,
1161,Yokohama,196340,kept,
2005,Tikal,54,kept,
1305,Liverpool (Cozy Oaks) Rummy,40004,remapped,
1523,Loco Momo,317299,kept,
2269,Pergola,424573,kept,
2356,HUTAN: Life in the Rainforest,419130,kept,
1416,New Frontiers,255692,kept,
1561,Sushi Go Party!,192291,kept,
1906,Dominoes,2394,kept,
1257,Luxor,245643,kept,
2573,20 Strong: Tanglewoods Red,424848,kept,
2588,Wispwood,445044,kept,
1853,Amalfi - Renaissance,351594,remapped,
1704,Rauha,371922,kept,
1848,Dracula vs Van Helsing,381278,kept,
2535,The Dwarf King,85250,kept,
2564,20 Strong: Solar Sentinels,373167,kept,
1310,Draftosaurus,264055,kept,
1340,Tranquility,288513,kept,
1471,Stella – Dixit Universe,329845,kept,
1486,Ultimate Railroads,329591,kept,
1252,Marco Polo II: In the Service of the Khan,283948,kept,
2474,Popcorn,430563,kept,
2508,Cry Baby,453781,kept,
1445,Railways of the World,17133,kept,
2353,Ahoy,359402,kept,
2164,Great Western Trail: El Paso,431305,kept,
55,Machiavelli,152359,kept,
2001,Newton,244711,kept,
1736,boop.,355433,kept,
1196,Santorini,194655,kept,
1278,Haiclue,286062,kept,
1592,Jump Drive,205597,kept,
1173,Teotihuacan: City of Gods,229853,kept,
2263,Pagan: Fate of Roanoke,319910,kept,
1186,Connect Four,2719,kept,
1187,Marrakech,29223,kept,
2196,Stonespine Architects,387514,kept,
2250,Captain Tsubasa: The card game,421232,kept,
2581,Visions,463446,kept,
2583,YRO,402207,kept,
1335,Abyss,155987,kept,
2373,Moonshine,440843,kept,
2618,Spooky Tower,464056,kept,
2100,Botanicus,413260,kept,
1336,Fluxx,258,kept,
1385,Codex Naturalis,314503,kept,
1738,Applejack,367662,kept,
2185,Pentaquest,359961,kept,
2333,"Hey, That's My Fish!",8203,kept,
1926,Federation,345868,kept,
1910,Pax Renaissance,308119,kept,
2536,La Famiglia: The Great Mafia War,367517,kept,
1018,Quantum,143519,kept,
1659,My City,295486,kept,
1531,Tigris & Euphrates,42,kept,
2094,Gnome Hollow,332885,kept,
1096,Incan Gold,37759,kept,
2057,Middle Ages,403754,kept,
2181,Altay: Dawn of Civilization,334537,kept,
2663,Under the Leaves,436751,kept,
1839,Wizards of the Grimoire,340541,kept,
2199,Panda Spin,417323,kept,
79,Hive,2655,kept,
1224,Forbidden Island,65244,kept,
2482,Booty Dice,8766280,kept,
1973,Quartermaster General: East Front,379706,kept,
2401,CATAN New Energies,408727,kept,
2272,Symbiose,432451,kept,
1275,Concept,147151,kept,
2360,Kokeshi,415507,kept,
1292,El Grande,93,kept,
1145,The Werewolves of Miller's Hollow,25821,kept,
2628,Kumata,458956,kept,
1213,Flaming Pyramids,236639,kept,
2084,A Gest of Robin Hood,338376,kept,
1785,Farkle,238510,kept,
1901,The Wolves,368058,kept,
2036,Slide,415836,kept,
1426,Abandon All Artichokes,302260,kept,
1023,Lords of Xidit,156566,kept,
2423,YINSH,7854,kept,
1193,City of the Big Shoulders,214880,kept,
1476,Similo,268620,kept,
1830,Perfect Words,393352,kept,
1621,Roll'n Bump,110260,kept,
1314,13 Clues,208766,kept,
1100,Lewis & Clark,140620,kept,
1665,Tranquility: The Ascent,334717,kept,
1749,Roll to the Top: Journeys,370193,kept,
1823,GOLDblivion,357071,kept,
1987,Chemical Overload,355788,kept,
2647,Play Nine,22950,kept,
1773,Evolution,155703,kept,
1032,Keyflower,122515,kept,
2613,Les toits de Paris,382958,kept,
2170,51st State,192458,kept,
2368,Wandering Towers,355483,kept,
1489,Scopa,15889,kept,
1792,After Us,369548,kept,
2300,Rumble Nation,266722,kept,
2012,Cat in the Box: Deluxe Edition,345972,kept,
2187,Beer & Bread,369880,kept,
1017,Tash-Kalar,146278,kept,
1654,Villagers,241724,kept,
1735,Rainforest,365698,kept,
1409,Trek 12,303672,kept,
1913,It's a Wonderful Kingdom,327711,kept,
1284,Dungeon Petz,97207,kept,
1371,Skull,92415,kept,
2612,Trök,461819,kept,
2382,Arigatō,443348,kept,
2252,Crafting the Cosmos,424785,kept,
1954,MLEM: Space Agency,387378,kept,
1963,SpellBook,391834,kept,
2052,Path of Civilization,385680,kept,
1025,Colt Express,158899,kept,
1548,Copenhagen,269595,kept,
1155,La Granja,146886,kept,
1668,Metro,559,kept,
2415,Imperial Settlers,154203,kept,
1477,Number Drop,337784,kept,
1858,Botanik,271529,kept,
2462,Space Lab,449974,kept,
1111,Battleships Pencil & Paper,2425,kept,
1406,Sobek: 2 Players,332944,kept,
1497,Glow,275044,kept,
2222,LUZ,420862,kept,
2260,Café,284936,kept,
2736,Piles!,400752,kept,
2,Coloretto,5782,kept,
1769,Hanamikoji,158600,kept,
2031,Takenokolor,373636,kept,
2464,Quartermaster General: South Front,426868,kept,
29,Caylus,18602,kept,
35,Reversi,2389,kept,
58,Perudo,45,kept,
1368,Hugo,444,kept,
2477,Cathood,383117,kept,
1751,Trio,352515,kept,
1755,Hadara,269144,kept,
2416,Bohemians,437384,kept,
1488,Space Empires: 4X,84419,kept,
2288,Tower Up,393307,kept,
1846,Stupor Mundi,392492,kept,
2720,5Pairs,456453,kept,
27,Color Pop,125028,kept,
1833,Canvas,290236,kept,
1878,Dog Park,331401,kept,
1268,Automobiles,180680,kept,
1380,Pingimus,,dropped-placeholder,
1386,Conspiracy,276042,kept,
1752,Dog Lover,344839,kept,
